"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Window Replacement,Pittsburgh,PA,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,10000,50000,n/a,n/a,New Requirement,New Requirement,GSA funded,2016-01-05,,FY 2016-2nd Quarter,Shannon Scureman,shannon.scureman@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit from existing IDIQ Multiple Award term contractors
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,Update elevator controls,Scranton,PA,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Full and Open Competition,50000,100000,n/a,n/a,New Requirement,New Requirement,GSA funded,2015-12-10,,FY 2016-1st Quarter,Shannon Scureman,shannon.scureman@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",Will solicit from existing IDIQ Multiple Award term contractors
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Solicitation Closed,FASTC-Phase two,Blackstome,VA,236220,Other Than Small,Firm Fixed Price,Definitive Contract,Full and Open Competition,150000000,200000000,n/a,n/a,New Requirement,New Requirement,Non-GSA funded,Solicited early in FY15,,FY 2016-4th Quarter,James Henry,james.henry@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,IRS Consolidation CM Services,Martinsburg,WV,541310,Other Than Small,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,500000,1000000,n/a,n/a,New Requirement,New Requirement,Non-GSA funded,2016-06-01,,FY 2016-4th Quarter,maryanne.potok@gsa.gv,maryanne.potok@gsa.gv,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,IRS Consolidation Construction,Martinsburg,WV,236220,Other Than Small,Firm Fixed Price,Definitive Contract,Full and Open Competition,10000000,15000000,n/a,n/a,New Requirement,New Requirement,Non-GSA funded,2016-03-01,,FY 2016-4th Quarter,maryanne.potok@gsa.gv,maryanne.potok@gsa.gv,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,CMS Consolidation CM Services,Woodlawn,MD,541310,Other Than Small,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Competitive Delivery Order Fair Opportunity Provided,1000000,5000000,n/a,n/a,New Requirement,New Requirement,Non-GSA funded,2016-06-01,,FY 2016-4th Quarter,maryanne.potok@gsa.gv,maryanne.potok@gsa.gv,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R3-Mid-Atlantic Region,Planning,CMS Consolidation Construction,Woodlawn,MD,236220,Other Than Small,Firm Fixed Price,Definitive Contract,Full and Open Competition,5000000,10000000,n/a,n/a,New Requirement,New Requirement,Non-GSA funded,2016-06-01,,FY 2016-4th Quarter,maryanne.potok@gsa.gv,maryanne.potok@gsa.gv,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
FAS-Federal Acquisition Service,R3-Mid-Atlantic Region,Award Pending,CISCO WAN and Pulse Equipment + Maint,Reston,VA,334210,Small Business,Firm Fixed Price,Government-wide Agency Contract-GWAC,Full and Open Competition,0,0,300000,,,New Requirement,Non-GSA funded,,,FY 2016-1st Quarter,robert.vitelli@gsa.gov,robert.vitelli@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
FAS-Federal Acquisition Service,R3-Mid-Atlantic Region,Award Pending,NetApps Dis Shelf/Data Storage,Aberdeen,MD,334111,Small Business,Firm Fixed Price,Government-wide Agency Contract-GWAC,Full and Open Competition,0,0,300000,,,New Requirement,Non-GSA funded,,,FY 2016-1st Quarter,robert.vitelli@gsa.gov,robert.vitelli@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
FAS-Federal Acquisition Service,R3-Mid-Atlantic Region,Drafting Solicitation,"DHS Operations Center, Block A, Bldg 2",Washington,DC,337214,Other Than Small,Firm Fixed Price,BPA Call,Full and Open Competition,0,0,$1 million,,,New Requirement,Non-GSA funded,2016-02-15,,FY 2016-Quarter To Be Determined,Joe Richardson,joseph.richardson@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
FAS-Federal Acquisition Service,R3-Mid-Atlantic Region,Planning,DAU LMS Replacement (COTS solution),Fort Belvoir,VA,541519,To Be Determined,Firm Fixed Price,Government-wide Agency Contract-GWAC,Full and Open Competition,0,0,$14M,,,Recompete,Non-GSA funded,2016-02-19,,FY 2016-3rd Quarter,Christine Chaapel,christine.chaapel@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
FAS-Federal Acquisition Service,R3-Mid-Atlantic Region,Planning,DAU KMS,Fort Belvoir,VA,541519,To Be Determined,Firm Fixed Price,Government-wide Agency Contract-GWAC,Full and Open Competition,0,0,$20M,,,Recompete,Non-GSA funded,2016-02-29,,FY 2016-3rd Quarter,Alex Garcia,alex.garcia@gsa.gov,"Helena Koch, 215-446-4918, helena.koch@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,Office Relocation Services,Regional,GA,561990,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1000,25000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,TBD,FY 2016-3rd Quarter,Patrick Dillon,patrick.dillon@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Solicitation Issued,KY/TN IDIQ General Construction Services,KY/TN,KY,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1000,25000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2015 3rd Quarter,TBD,FY 2016-1st Quarter,Dequilla Burnett,dequilla.burnett@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,GA IDIQ General Construction Services,GA,GA,236220,To Be Determined,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1000,25000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,TBD,FY 2016-4th Quarter,Julius Teal,julius.teal@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,MS/AL IDIQ General Construction Services,MS/AL,AL,236220,To Be Determined,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1000,25000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,TBD,FY 2016-4th Quarter,Dwayne Ogletree,dwayne.ogletree@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,NC/SC IDIQ A-E Services,NC/SC,Regional,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1000,5000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,TBD,FY 2016-4th Quarter,Takish Heyward,takish.heyward@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,KY/TN IDIQ A-E Services,KY/TN,Regional,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1000,5000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,TBD,FY 2016-4th Quarter,Takish Heyward,takish.heyward@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,GA IDIQ A-E Services,GA,Regional,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1000,5000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 2nd Quarter,TBD,FY 2016-4th Quarter,Takish Heyward,takish.heyward@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,MS/AL IDIQ A-E Services,MS/AL,Regional,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1000,5000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 2nd Quarter,TBD,FY 2016-4th Quarter,Takish Heyward,takish.heyward@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,FL IDIQ A-E Services,FL,Regional,541310,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",1000,5000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 2nd Quarter,TBD,FY 2016-4th Quarter,Takish Heyward,takish.heyward@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Evaluation Stage,Partition IDIQ for Jackson MS,Jackson,MS,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1000,3600000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2015 - 3rd Quarter,TBD,FY 2016-1st Quarter,Takish Heyward,takish.heyward@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Award pending responsibility determination
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Solicitation Issued,Partition IDIQ for Atlanta Central,Atlanta,GA,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1000,3600000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2015 - 3rd Quarter,TBD,FY 2016-1st Quarter,Julius Teal,julius.teal@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,Repair and Alterations for the Veteran's Administration,Winston-Salem,NC,236220,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",5000000,8000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,TBD,FY 2016-3rd Quarter,Joseph Ardoin,joseph.ardoin@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Award Pending,Miami SSA renovation,Miami,FL,236220,Small Business,Firm Fixed Price,Negotiated,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",3000000,4000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2015 - 3rd Quarter,TBD,FY 2016-1st Quarter,Julius Teal,julius.teal@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Award pending funding
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,"Partition/Costworks IDIQ for Charlotte, NC",Charlotte,NC,236220,Small Business,Firm Fixed Price,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1000,3800000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,NA,FY 2016-3rd Quarter,Julius Teal,julius.teal@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Pilot IDIQ utilizing partition IDIQ and Costworks
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,"Partition/Costworks IDIQ for Asheville, NC",Asheville,NC,236220,Small Business,Firm Fixed Price,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1000,3800000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,NA,FY 2016-3rd Quarter,Julius Teal,julius.teal@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Pilot IDIQ utilizing partition IDIQ and Costworks
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,"Partition/Costworks IDIQ for Raleigh, NC",Raleigh,NC,236220,Small Business,Firm Fixed Price,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1000,3800000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,NA,FY 2016-3rd Quarter,Julius Teal,julius.teal@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Pilot IDIQ utilizing partition IDIQ and Costworks
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Evaluation Stage,A/E Design Refresh for New Construction Project,Nashville,TN,541310,Other Than Small,Firm Fixed Price,Negotiated,Sole Source,800000,900000,None,Michael Graves/ Thomas Miller JV,NA,New Requirement,GSA funded-PBS,FY 2015 - 3rd Quarter,NA,FY 2016-3rd Quarter,Joseph Ardoin,joseph.ardoin@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Refresh design for the Nashville U.S. Courthouse
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,"New Construction for Courthouse,",Nashville,TN,236220,Other Than Small,Firm Fixed Price,Negotiated,Full and Open Competition,181000000,181000000,,,,New Requirement,GSA funded,FY 2016- TBD,NA,FY 2016-Quarter To Be Determined,Jeremy Boozikee,jeremy.boozikee@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Pending funding and project authorization
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,Tenncare Building Demolition,Nashville,TN,236220,Small Business,Firm Fixed Price,Negotiated,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",1000000,1500000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 2nd Quarter,NA,FY 2016-4th Quarter,Joseph Ardoin,joseph.ardoin@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Pending funding and project authorization
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,MLK Restacking - Design,Atlanta,GA,236220,Small Business,Firm Fixed Price,Negotiated,Fair Opportunity,250000,300000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,NA,FY 2016-2nd Quarter,TBD,TBD,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,MLK Restacking - Construction,Atlanta,GA,236220,Small Business,Firm Fixed Price,Negotiated,Fair Opportunity,2500000,3000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 2st Quarter,NA,FY 2016-3rd Quarter,TBD,TBD,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,ODAR SSA - Lighting Retrofit,Regionwide,REGIONWIDE,236220,Small Business,Firm Fixed Price,Negotiated,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",2000000,3000000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2016 - 1st Quarter,NA,FY 2016-3rd Quarter,Takish Heyward,takish.heyward@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Evaluation Stage,Charleston Fire & Life Safety Alterations,Charleston,GA,236220,Small Business,Firm Fixed Price,Negotiated,Fair Opportunity,1500000,1800000,None,NA,NA,New Requirement,GSA funded-PBS,FY 2015 - 2nd Quarter,NA,FY 2016-1st Quarter,Takish Heyward,takish.heyward@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Awarded,Parking Management Services - SN-AFC,Atlanta,GA,812930,Small Business,Firm Fixed Price,Contract,Set-Aside,0,0,$0.00`,Jasint Consulting,GS-04P-15-EW-C-0100,To Be Determined,Non-GSA funded,Awarded,N/A,FY 2016-2nd Quarter,George Pollock,george.pollock@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Base period: 5/1/2015 - 4/30/2016
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Awarded,Janitorial (NISH),Newnan,GA,561720,AbilityOne,Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",0,0,80780.16,Bobby Dodd Institute,GS-04P-15-EW-D-0013,Option,GSA funded-PBS,Awarded,N/A,FY 2016-2nd Quarter,George Pollock,george.pollock@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Base period: 5/1/2015 - 4/30/2016
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Planning,Hydrostatic Testing of Fire Suppression Systems with emphasis on protection of building and contents.,Atlanta,GA,238290,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,0,0,None - new procurement,TBD,TBD,New Requirement,GSA funded-PBS,To be determined,N/A,FY 2016-2nd Quarter,Karen Payne,karen.payne@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",New contract with complex SOW
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Drafting Solicitation,Combined Services - O&M and Janitorial,Atlanta,GA,561210,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Negotiated,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",0,0,Brooks Range Contract Services,Brooks Range Contract Services,GS-04P-10-EW-A-0183 / GS-P-04-13-ew-5058,Option,GSA funded-PBS,2015-10-31,N/A,FY 2016-2nd Quarter,Karen Payne,karen.payne@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov","New contract for services were continuing need exists at the Richard B. Russell Fedreal Building/Courthouse and the Martin Luther King, Jr. Federal Building."
PBS-Public Buildings Service,R4-Southeast Sunbelt Region,Awarded,Janitorial,Gainesville,GA,561720,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",89770.68,89770.68,89770.68,J's Associates,GS-04P-14-EW-D-0087,Option,GSA funded-PBS,Awarded,N/A,FY 2016-1st Quarter,George Pollock,george.pollock@gsa.gov,"Millie Quinley, 404-331-1053, millie.quinley@gsa.gov",Option I: 11/01/2015 - 10/31/2016
